date_d,dam_code_s,water_in_f,water_lvl_f,out_elec_f,out_spill_f,out_irr_f,out_f,in_pump_f
20/08/2535,bl,2.77,592.74,0.00,0.00,0.08,0.08,0.00
21/08/2535,bl,1.01,590.08,0.00,0.00,0.00,0.0,0.00
22/08/2535,bl,1.24,588.60,0.00,0.00,0.00,0.0,0.00
23/08/2535,bl,0.96,588.01,0.00,0.00,0.00,0.0,0.00
24/08/2535,bl,1.16,585.08,0.00,0.00,0.00,0.0,0.00
25/08/2535,bl,1.07,583.03,0.00,0.00,0.00,0.0,0.00
26/08/2535,bl,1.37,581.28,0.00,0.00,0.00,0.0,0.00
27/08/2535,bl,4.33,583.03,0.00,0.00,0.00,0.0,0.00
28/08/2535,bl,4.10,584.20,0.00,0.00,0.00,0.0,0.00
29/08/2535,bl,3.61,585.37,0.00,0.00,0.00,0.0,0.00
30/08/2535,bl,2.84,586.54,0.00,0.00,0.00,0.0,0.00
31/08/2535,bl,2.19,586.54,0.00,0.00,0.00,0.0,0.00
01/09/2535,bl,1.65,585.37,0.00,0.00,0.00,0.0,0.00
02/09/2535,bl,1.76,584.49,0.00,0.00,0.00,0.0,0.00
03/09/2535,bl,1.60,583.32,0.00,0.00,0.00,0.0,0.00
04/09/2535,bl,1.88,583.03,0.00,0.00,0.00,0.0,0.00
05/09/2535,bl,1.44,582.15,0.00,0.00,0.00,0.0,0.00
06/09/2535,bl,1.78,582.15,0.00,0.00,0.00,0.0,0.00
07/09/2535,bl,1.85,581.57,0.00,0.00,0.00,0.0,0.00
08/09/2535,bl,1.57,580.41,0.00,0.00,0.00,0.0,0.00
09/09/2535,bl,1.06,579.54,0.00,0.00,0.00,0.0,0.00
10/09/2535,bl,2.23,578.96,0.00,0.00,0.00,0.0,0.00
11/09/2535,bl,2.24,578.09,0.00,0.00,0.00,0.0,0.00
12/09/2535,bl,1.28,577.22,0.00,0.00,0.00,0.0,0.00
13/09/2535,bl,1.21,576.93,0.00,0.00,0.00,0.0,0.00
14/09/2535,bl,1.07,574.62,0.00,0.00,0.00,0.0,0.00
15/09/2535,bl,0.96,572.90,0.00,0.00,0.00,0.0,0.00
16/09/2535,bl,1.15,571.47,0.00,0.00,0.00,0.0,0.00
17/09/2535,bl,1.23,570.04,0.00,0.00,0.00,0.0,0.00
18/09/2535,bl,1.17,568.61,0.00,0.00,0.00,0.0,0.00
19/09/2535,bl,1.75,568.04,0.00,0.00,0.00,0.0,0.00
20/09/2535,bl,1.22,567.76,0.00,0.00,0.00,0.0,0.00
21/09/2535,bl,1.55,565.77,0.00,0.00,0.00,0.0,0.00
22/09/2535,bl,1.06,563.23,0.00,0.00,0.00,0.0,0.00
23/09/2535,bl,2.53,561.82,0.00,0.00,0.00,0.0,0.00
24/09/2535,bl,5.07,562.95,0.00,0.00,0.00,0.0,0.00
25/09/2535,bl,4.70,562.66,0.00,0.00,0.00,0.0,0.00
26/09/2535,bl,2.97,564.36,0.00,0.00,0.00,0.0,0.00
27/09/2535,bl,2.10,565.20,0.00,0.00,0.00,0.0,0.00
28/09/2535,bl,2.44,564.07,0.00,0.00,0.00,0.0,0.00
29/09/2535,bl,4.00,564.92,0.00,0.00,0.00,0.0,0.00
30/09/2535,bl,2.67,564.36,3.16,0.00,0.00,3.16,0.00
01/10/2535,bl,5.02,566.06,3.25,0.00,0.00,3.25,0.00
02/10/2535,bl,5.87,568.62,3.24,0.00,0.00,3.24,0.00
03/10/2535,bl,5.81,571.76,2.60,0.00,0.00,2.6,0.00
04/10/2535,bl,5.34,575.78,1.24,0.00,0.00,1.24,0.00
05/10/2535,bl,3.29,576.36,2.64,0.00,0.00,2.64,0.00
06/10/2535,bl,2.61,576.36,2.54,0.00,0.00,2.54,0.00
07/10/2535,bl,2.10,575.78,2.60,0.00,0.00,2.6,0.00
08/10/2535,bl,5.58,578.96,2.33,0.00,0.00,2.33,0.00
09/10/2535,bl,4.37,580.70,2.56,0.00,0.00,2.56,0.00
10/10/2535,bl,4.22,583.33,1.53,0.00,0.00,1.53,0.00
11/10/2535,bl,3.93,585.67,1.52,0.00,0.00,1.52,0.00
12/10/2535,bl,2.50,585.96,2.13,0.00,0.00,2.13,0.00
13/10/2535,bl,3.98,586.84,3.03,0.00,0.00,3.03,0.00
14/10/2535,bl,8.92,593.04,2.64,0.00,0.00,2.64,0.00
15/10/2535,bl,4.65,594.83,2.79,0.00,0.00,2.79,0.00
16/10/2535,bl,3.92,595.72,2.95,0.00,0.00,2.95,0.00
17/10/2535,bl,4.06,596.02,3.69,0.00,0.00,3.69,0.00
18/10/2535,bl,3.45,597.22,2.18,0.00,0.00,2.18,0.00
19/10/2535,bl,4.80,599.31,2.63,0.00,0.00,2.63,0.00
20/10/2535,bl,5.97,602.32,2.89,0.00,0.00,2.89,0.00
21/10/2535,bl,4.61,603.23,3.63,0.00,0.00,3.63,0.00
22/10/2535,bl,3.32,602.93,3.54,0.00,0.00,3.54,0.00
23/10/2535,bl,2.98,602.62,3.20,0.00,0.00,3.2,0.00
24/10/2535,bl,2.41,602.02,2.94,0.00,0.00,2.94,0.00
25/10/2535,bl,2.92,602.93,1.94,0.00,0.00,1.94,0.00
26/10/2535,bl,2.96,603.23,2.58,0.00,0.00,2.58,0.00
27/10/2535,bl,4.06,603.53,3.68,0.00,0.00,3.68,0.00
28/10/2535,bl,3.85,602.32,4.98,0.00,0.00,4.98,0.00
29/10/2535,bl,3.30,599.91,5.64,0.00,0.00,5.64,0.00
30/10/2535,bl,3.78,600.52,3.10,0.00,0.00,3.1,0.00
31/10/2535,bl,4.69,602.32,2.81,0.00,0.00,2.81,0.00
01/11/2535,bl,3.80,604.44,1.61,0.00,0.00,1.61,0.00
02/11/2535,bl,3.35,604.74,2.98,0.00,0.00,2.98,0.00
03/11/2535,bl,3.00,605.35,2.32,0.00,0.00,2.32,0.00
04/11/2535,bl,3.37,606.56,2.09,0.00,0.00,2.09,0.00
05/11/2535,bl,2.81,606.86,2.43,0.00,0.00,2.43,0.00
06/11/2535,bl,2.30,605.65,3.44,0.00,0.00,3.44,0.00
07/11/2535,bl,2.39,603.23,4.74,0.00,0.00,4.74,0.00
08/11/2535,bl,2.33,603.83,1.66,0.00,0.00,1.66,0.00
