date_d,dam_code_s,water_in_f,water_lvl_f,out_elec_f,out_spill_f,out_irr_f,out_f,in_pump_f
01/10/2535,bst,0.04,0.08,0.07,0.00,0.00,0.07,0.00
02/10/2535,bst,0.22,0.13,0.05,0.00,0.00,0.05,0.00
03/10/2535,bst,0.14,0.12,0.07,0.00,0.00,0.07,0.00
04/10/2535,bst,0.10,0.12,0.07,0.00,0.00,0.07,0.00
05/10/2535,bst,0.06,0.11,0.06,0.00,0.00,0.06,0.00
06/10/2535,bst,0.05,0.09,0.06,0.00,0.00,0.06,0.00
07/10/2535,bst,0.05,0.09,0.04,0.00,0.00,0.04,0.00
08/10/2535,bst,0.03,0.08,0.04,0.00,0.00,0.04,0.00
09/10/2535,bst,0.04,0.08,0.03,0.00,0.00,0.03,0.00
10/10/2535,bst,0.05,0.09,0.03,0.00,0.00,0.03,0.00
11/10/2535,bst,0.05,0.09,0.05,0.00,0.00,0.05,0.00
12/10/2535,bst,0.04,0.10,0.03,0.00,0.00,0.03,0.00
13/10/2535,bst,0.03,0.08,0.04,0.00,0.00,0.04,0.00
14/10/2535,bst,0.04,0.07,0.04,0.00,0.00,0.04,0.00
15/10/2535,bst,0.06,0.11,0.02,0.00,0.00,0.02,0.00
16/10/2535,bst,0.06,0.11,0.06,0.00,0.00,0.06,0.00
17/10/2535,bst,0.18,0.12,0.06,0.00,0.00,0.06,0.00
18/10/2535,bst,0.08,0.11,0.06,0.00,0.00,0.06,0.00
19/10/2535,bst,0.07,0.11,0.06,0.00,0.00,0.06,0.00
20/10/2535,bst,0.05,0.10,0.07,0.00,0.00,0.07,0.00
21/10/2535,bst,0.08,0.11,0.06,0.00,0.00,0.06,0.00
22/10/2535,bst,0.14,0.12,0.07,0.00,0.00,0.07,0.00
23/10/2535,bst,0.08,0.12,0.06,0.00,0.00,0.06,0.00
24/10/2535,bst,0.08,0.11,0.06,0.00,0.00,0.06,0.00
25/10/2535,bst,0.05,0.10,0.07,0.00,0.00,0.07,0.00
26/10/2535,bst,0.05,0.09,0.05,0.00,0.00,0.05,0.00
27/10/2535,bst,0.07,0.12,0.04,0.00,0.00,0.04,0.00
28/10/2535,bst,0.06,0.11,0.06,0.00,0.00,0.06,0.00
