date_d,dam_code_s,water_in_f,water_lvl_f,out_elec_f,out_spill_f,out_irr_f,out_f,in_pump_f
20/08/2535,ggj,3.06,225.91,0.00,0.00,0.06,0.06,0.00
21/08/2535,ggj,4.72,227.52,0.00,0.00,0.00,0.0,0.00
22/08/2535,ggj,5.18,229.60,0.00,0.00,0.00,0.0,0.00
23/08/2535,ggj,4.48,230.99,0.00,0.00,0.00,0.0,0.00
24/08/2535,ggj,3.55,231.45,0.00,0.00,0.00,0.0,0.00
25/08/2535,ggj,3.32,231.69,0.00,0.00,0.00,0.0,0.00
26/08/2535,ggj,3.09,231.69,0.00,0.00,0.00,0.0,0.00
27/08/2535,ggj,2.62,231.22,0.00,0.00,0.00,0.0,0.00
28/08/2535,ggj,2.39,230.52,0.00,0.00,0.00,0.0,0.00
29/08/2535,ggj,2.86,230.29,0.00,0.00,0.00,0.0,0.00
30/08/2535,ggj,3.10,230.29,0.00,0.00,0.00,0.0,0.00
31/08/2535,ggj,2.40,229.60,0.00,0.00,0.00,0.0,0.00
01/09/2535,ggj,3.33,229.83,0.00,0.00,0.00,0.0,0.00
02/09/2535,ggj,3.56,230.29,0.00,0.00,0.00,0.0,0.00
03/09/2535,ggj,3.32,230.52,0.00,0.00,0.00,0.0,0.00
04/09/2535,ggj,3.09,230.52,0.00,0.00,0.00,0.0,0.00
05/09/2535,ggj,3.55,230.99,0.00,0.00,0.00,0.0,0.00
06/09/2535,ggj,4.02,231.92,0.00,0.00,0.00,0.0,0.00
07/09/2535,ggj,3.79,232.62,0.00,0.00,0.00,0.0,0.00
08/09/2535,ggj,3.55,233.08,0.00,0.00,0.00,0.0,0.00
09/09/2535,ggj,3.55,233.55,0.00,0.00,0.00,0.0,0.00
10/09/2535,ggj,3.08,233.55,0.00,0.00,0.00,0.0,0.00
11/09/2535,ggj,3.78,234.25,0.00,0.00,0.00,0.0,0.00
12/09/2535,ggj,3.08,234.25,0.00,0.00,0.00,0.0,0.00
13/09/2535,ggj,2.84,234.02,0.00,0.00,0.00,0.0,0.00
14/09/2535,ggj,2.61,233.55,0.00,0.00,0.00,0.0,0.00
15/09/2535,ggj,2.61,233.08,0.00,0.00,0.00,0.0,0.00
16/09/2535,ggj,2.39,232.38,0.00,0.00,0.00,0.0,0.00
17/09/2535,ggj,2.39,231.69,0.00,0.00,0.00,0.0,0.00
18/09/2535,ggj,2.11,230.99,0.00,0.00,0.00,0.0,0.00
19/09/2535,ggj,2.62,230.52,0.00,0.00,0.00,0.0,0.00
20/09/2535,ggj,2.17,229.60,0.00,0.00,0.00,0.0,0.00
21/09/2535,ggj,1.71,228.21,0.00,0.00,0.00,0.0,0.00
22/09/2535,ggj,2.19,227.29,0.00,0.00,0.00,0.0,0.00
23/09/2535,ggj,2.19,226.37,0.00,0.00,0.00,0.0,0.00
24/09/2535,ggj,1.97,225.22,0.00,0.00,0.00,0.0,0.00
25/09/2535,ggj,2.20,224.31,0.00,0.00,0.00,0.0,0.00
26/09/2535,ggj,2.20,223.40,0.00,0.00,0.00,0.0,0.00
27/09/2535,ggj,2.22,222.49,0.00,0.00,0.00,0.0,0.00
28/09/2535,ggj,2.45,221.80,0.00,0.00,0.00,0.0,0.00
29/09/2535,ggj,2.22,220.90,0.00,0.00,0.00,0.0,0.00
30/09/2535,ggj,2.91,220.67,0.00,0.00,0.00,0.0,0.00
01/10/2535,ggj,2.46,220.00,0.00,0.00,0.00,0.0,0.00
02/10/2535,ggj,2.15,219.32,0.00,0.00,0.00,0.0,0.00
03/10/2535,ggj,2.17,218.87,0.00,0.00,0.00,0.0,0.00
04/10/2535,ggj,3.76,220.00,0.00,0.00,0.00,0.0,0.00
05/10/2535,ggj,3.76,221.13,0.00,0.00,0.00,0.0,0.00
06/10/2535,ggj,2.37,222.26,0.00,0.00,0.00,0.0,0.00
07/10/2535,ggj,3.88,224.31,0.00,0.00,0.00,0.0,0.00
08/10/2535,ggj,2.29,224.76,0.00,0.00,0.00,0.0,0.00
09/10/2535,ggj,2.52,225.45,0.00,0.00,0.00,0.0,0.00
