date_d,dam_code_s,water_in_f,water_lvl_f,out_elec_f,out_spill_f,out_irr_f,in_pump_f
20/08/2535,hg,0.42,11.47,0.00,0.00,0.05,0.00
21/08/2535,hg,0.00,11.01,0.00,0.00,0.00,0.00
22/08/2535,hg,0.00,10.55,0.00,0.00,0.00,0.00
23/08/2535,hg,0.00,10.10,0.00,0.00,0.00,0.00
24/08/2535,hg,0.02,9.86,0.00,0.00,0.00,0.00
25/08/2535,hg,0.12,9.98,0.00,0.00,0.00,0.00
26/08/2535,hg,0.18,10.16,0.00,0.00,0.00,0.00
27/08/2535,hg,0.58,10.48,0.00,0.00,0.00,0.00
28/08/2535,hg,0.53,10.60,0.00,0.00,0.00,0.00
29/08/2535,hg,1.10,11.57,0.00,0.00,0.00,0.00
30/08/2535,hg,0.88,12.45,0.00,0.00,0.00,0.00
31/08/2535,hg,0.38,12.82,0.00,0.00,0.00,0.00
01/09/2535,hg,0.49,13.08,0.00,0.00,0.00,0.00
02/09/2535,hg,1.28,13.94,0.00,0.00,0.00,0.00
03/09/2535,hg,0.61,14.17,0.00,0.00,0.00,0.00
04/09/2535,hg,0.71,14.88,0.00,0.00,0.00,0.00
05/09/2535,hg,0.40,15.27,0.00,0.00,0.00,0.00
06/09/2535,hg,0.22,15.49,0.00,0.00,0.00,0.00
07/09/2535,hg,0.13,15.47,0.00,0.00,0.00,0.00
08/09/2535,hg,0.10,15.13,0.00,0.00,0.00,0.00
09/09/2535,hg,0.04,14.73,0.00,0.00,0.00,0.00
10/09/2535,hg,0.09,14.37,0.00,0.00,0.00,0.00
11/09/2535,hg,0.06,14.16,0.00,0.00,0.00,0.00
12/09/2535,hg,0.05,13.96,0.00,0.00,0.00,0.00
13/09/2535,hg,0.06,13.78,0.00,0.00,0.00,0.00
14/09/2535,hg,0.02,13.56,0.00,0.00,0.00,0.00
15/09/2535,hg,0.03,13.35,0.00,0.00,0.00,0.00
16/09/2535,hg,0.00,13.11,0.00,0.00,0.00,0.00
17/09/2535,hg,0.01,12.88,0.00,0.00,0.00,0.00
18/09/2535,hg,0.06,12.70,0.00,0.00,0.00,0.00
19/09/2535,hg,0.04,12.48,0.00,0.00,0.00,0.00
20/09/2535,hg,0.02,12.25,0.00,0.00,0.00,0.00
21/09/2535,hg,0.29,12.28,0.00,0.00,0.00,0.00
22/09/2535,hg,1.68,13.72,0.00,0.00,0.00,0.00
23/09/2535,hg,1.39,14.86,0.00,0.00,0.00,0.00
24/09/2535,hg,0.93,15.51,0.00,0.00,0.00,0.00
25/09/2535,hg,0.31,15.56,0.00,0.00,0.00,0.00
26/09/2535,hg,0.22,15.52,0.00,0.00,0.00,0.00
27/09/2535,hg,0.37,15.64,0.00,0.00,0.00,0.00
28/09/2535,hg,0.26,15.64,0.00,0.00,0.00,0.00
29/09/2535,hg,1.99,17.38,0.00,0.00,0.00,0.00
30/09/2535,hg,7.28,21.91,0.00,2.44,0.00,0.00
01/10/2535,hg,1.94,21.65,0.00,1.73,0.00,0.00
02/10/2535,hg,0.84,22.02,0.00,0.00,0.00,0.00
03/10/2535,hg,1.27,22.82,0.00,0.00,0.00,0.00
04/10/2535,hg,1.40,22.07,0.00,1.68,0.00,0.00
05/10/2535,hg,1.42,23.04,0.00,0.00,0.00,0.00
06/10/2535,hg,0.93,23.50,0.00,0.00,0.00,0.00
07/10/2535,hg,0.60,22.38,0.00,1.24,0.00,0.00
08/10/2535,hg,0.42,22.33,0.00,0.00,0.00,0.00
09/10/2535,hg,0.73,22.69,0.00,0.00,0.00,0.00
10/10/2535,hg,0.66,22.88,0.00,0.00,0.00,0.00
11/10/2535,hg,0.61,23.01,0.00,0.00,0.00,0.00
12/10/2535,hg,0.42,22.96,0.00,0.00,0.00,0.00
13/10/2535,hg,0.23,22.72,0.00,0.00,0.00,0.00
14/10/2535,hg,0.17,22.41,0.00,0.00,0.00,0.00
15/10/2535,hg,0.16,22.35,0.00,0.00,0.00,0.00
16/10/2535,hg,0.22,22.51,0.00,0.00,0.00,0.00
17/10/2535,hg,0.14,22.59,0.00,0.00,0.00,0.00
18/10/2535,hg,0.17,22.69,0.00,0.00,0.00,0.00
19/10/2535,hg,0.14,22.77,0.00,0.00,0.00,0.00
20/10/2535,hg,0.13,22.85,0.00,0.00,0.00,0.00
21/10/2535,hg,0.11,22.90,0.00,0.00,0.00,0.00
22/10/2535,hg,0.08,22.93,0.00,0.00,0.00,0.00
23/10/2535,hg,0.14,23.01,0.00,0.00,0.00,0.00
24/10/2535,hg,0.22,23.17,0.00,0.00,0.00,0.00
25/10/2535,hg,0.21,23.34,0.00,0.00,0.00,0.00
26/10/2535,hg,0.12,23.39,0.00,0.00,0.00,0.00
27/10/2535,hg,0.06,23.28,0.00,0.00,0.00,0.00
28/10/2535,hg,0.03,23.09,0.00,0.00,0.00,0.00
29/10/2535,hg,0.43,23.44,0.00,0.00,0.00,0.00
30/10/2535,hg,2.06,23.23,0.00,1.88,0.00,0.00
31/10/2535,hg,0.67,23.61,0.00,0.00,0.00,0.00
01/11/2535,hg,0.36,23.79,0.00,0.00,0.00,0.00
02/11/2535,hg,0.20,23.66,0.00,0.00,0.00,0.00
03/11/2535,hg,0.17,23.77,0.00,0.00,0.00,0.00
04/11/2535,hg,0.12,23.77,0.00,0.00,0.00,0.00
05/11/2535,hg,0.12,23.77,0.00,0.00,0.00,0.00
06/11/2535,hg,0.12,23.77,0.00,0.00,0.00,0.00
07/11/2535,hg,0.07,23.71,0.00,0.00,0.00,0.00
08/11/2535,hg,0.07,23.66,0.00,0.00,0.00,0.00
09/11/2535,hg,0.04,23.58,0.00,0.00,0.00,0.00
10/11/2535,hg,0.01,23.47,0.00,0.00,0.00,0.00
11/11/2535,hg,0.06,23.52,0.00,0.00,0.00,0.00
12/11/2535,hg,0.06,23.58,0.00,0.00,0.00,0.00
13/11/2535,hg,0.03,23.61,0.00,0.00,0.00,0.00
14/11/2535,hg,0.01,23.61,0.00,0.00,0.00,0.00
15/11/2535,hg,0.06,23.66,0.00,0.00,0.00,0.00
16/11/2535,hg,0.07,23.63,0.00,0.00,0.00,0.00
17/11/2535,hg,0.02,23.55,0.00,0.00,0.00,0.00
18/11/2535,hg,0.02,23.47,0.00,0.00,0.00,0.00
19/11/2535,hg,0.00,23.36,0.00,0.00,0.00,0.00
20/11/2535,hg,0.03,23.36,0.00,0.00,0.00,0.00
21/11/2535,hg,0.00,23.25,0.00,0.00,0.00,0.00
22/11/2535,hg,0.00,23.15,0.00,0.00,0.00,0.00
23/11/2535,hg,0.00,23.04,0.00,0.00,0.00,0.00
24/11/2535,hg,0.00,22.85,0.00,0.00,0.00,0.00
25/11/2535,hg,0.03,22.88,0.00,0.00,0.00,0.00
26/11/2535,hg,0.03,22.90,0.00,0.00,0.00,0.00
27/11/2535,hg,0.03,22.93,0.00,0.00,0.00,0.00
28/11/2535,hg,0.03,22.82,0.00,0.00,0.00,0.00
29/11/2535,hg,0.00,22.72,0.00,0.00,0.00,0.00
30/11/2535,hg,0.03,22.74,0.00,0.00,0.00,0.00
01/12/2535,hg,0.01,22.74,0.00,0.00,0.00,0.00
02/12/2535,hg,0.01,22.74,0.00,0.00,0.00,0.00
03/12/2535,hg,0.01,22.74,0.00,0.00,0.00,0.00
04/12/2535,hg,0.01,22.74,0.00,0.00,0.00,0.00
05/12/2535,hg,0.01,22.74,0.00,0.00,0.00,0.00
06/12/2535,hg,0.06,22.80,0.00,0.00,0.00,0.00
07/12/2535,hg,0.01,22.80,0.00,0.00,0.00,0.00
08/12/2535,hg,0.01,22.80,0.00,0.00,0.00,0.00
09/12/2535,hg,0.01,22.80,0.00,0.00,0.00,0.00
10/12/2535,hg,0.03,22.82,0.00,0.00,0.00,0.00
11/12/2535,hg,0.01,22.82,0.00,0.00,0.00,0.00
12/12/2535,hg,0.01,22.82,0.00,0.00,0.00,0.00
13/12/2535,hg,0.01,22.82,0.00,0.00,0.00,0.00
14/12/2535,hg,0.03,22.85,0.00,0.00,0.00,0.00
15/12/2535,hg,0.01,22.85,0.00,0.00,0.00,0.00
16/12/2535,hg,0.01,22.85,0.00,0.00,0.00,0.00
17/12/2535,hg,0.01,22.85,0.00,0.00,0.00,0.00
18/12/2535,hg,0.03,22.88,0.00,0.00,0.00,0.00
19/12/2535,hg,0.01,22.88,0.00,0.00,0.00,0.00
20/12/2535,hg,0.01,22.88,0.00,0.00,0.00,0.00
21/12/2535,hg,0.00,22.69,0.00,0.00,0.00,0.00
22/12/2535,hg,0.00,22.22,0.00,0.00,0.00,0.00
23/12/2535,hg,0.00,21.73,0.00,0.00,0.00,0.00
24/12/2535,hg,0.00,21.29,0.00,0.00,0.00,0.00
25/12/2535,hg,0.00,20.85,0.00,0.00,0.00,0.00
26/12/2535,hg,0.00,20.35,0.00,0.00,0.00,0.00
27/12/2535,hg,0.00,19.98,0.00,0.00,0.00,0.00
28/12/2535,hg,0.01,19.98,0.00,0.00,0.00,0.00
29/12/2535,hg,0.01,19.98,0.00,0.00,0.00,0.00
30/12/2535,hg,0.01,19.98,0.00,0.00,0.00,0.00
31/12/2535,hg,0.01,19.98,0.00,0.00,0.00,0.00
01/01/2536,hg,0.01,19.98,0.00,0.00,0.00,0.00
02/01/2536,hg,0.01,19.98,0.00,0.00,0.00,0.00
03/01/2536,hg,0.00,19.96,0.00,0.00,0.00,0.00
04/01/2536,hg,0.00,19.76,0.00,0.00,0.00,0.00
05/01/2536,hg,0.09,19.45,0.00,0.00,0.00,0.00
06/01/2536,hg,0.00,18.95,0.00,0.00,0.00,0.00
07/01/2536,hg,0.00,18.47,0.00,0.00,0.00,0.00
08/01/2536,hg,0.00,17.96,0.00,0.00,0.00,0.00
09/01/2536,hg,0.00,17.53,0.00,0.00,0.00,0.00
10/01/2536,hg,0.00,17.07,0.00,0.00,0.00,0.00
11/01/2536,hg,0.00,16.59,0.00,0.00,0.00,0.00
12/01/2536,hg,0.00,16.06,0.00,0.00,0.00,0.00
13/01/2536,hg,0.06,15.75,0.00,0.00,0.00,0.00
14/01/2536,hg,0.00,15.73,0.00,0.00,0.00,0.00
15/01/2536,hg,0.01,15.73,0.00,0.00,0.00,0.00
16/01/2536,hg,0.01,15.73,0.00,0.00,0.00,0.00
17/01/2536,hg,0.01,15.73,0.00,0.00,0.00,0.00
18/01/2536,hg,0.01,15.73,0.00,0.00,0.00,0.00
19/01/2536,hg,0.00,15.51,0.00,0.00,0.00,0.00
20/01/2536,hg,0.01,15.31,0.00,0.00,0.00,0.00
21/01/2536,hg,0.00,15.09,0.00,0.00,0.00,0.00
22/01/2536,hg,0.01,14.89,0.00,0.00,0.00,0.00
23/01/2536,hg,0.01,14.70,0.00,0.00,0.00,0.00
24/01/2536,hg,0.01,14.70,0.00,0.00,0.00,0.00
25/01/2536,hg,0.00,14.48,0.00,0.00,0.00,0.00
26/01/2536,hg,0.00,14.25,0.00,0.00,0.00,0.00
27/01/2536,hg,0.00,14.03,0.00,0.00,0.00,0.00
28/01/2536,hg,0.00,13.81,0.00,0.00,0.00,0.00
29/01/2536,hg,0.00,13.60,0.00,0.00,0.00,0.00
30/01/2536,hg,0.00,13.60,0.00,0.00,0.00,0.00
31/01/2536,hg,0.00,13.60,0.00,0.00,0.00,0.00
01/02/2536,hg,0.00,13.26,0.00,0.00,0.00,0.00
02/02/2536,hg,0.00,12.77,0.00,0.00,0.00,0.00
03/02/2536,hg,0.00,12.27,0.00,0.00,0.00,0.00
04/02/2536,hg,0.00,11.49,0.00,0.00,0.26,0.00
05/02/2536,hg,0.00,10.52,0.00,0.00,0.44,0.00
06/02/2536,hg,0.00,9.59,0.00,0.00,0.00,0.00
07/02/2536,hg,0.00,8.69,0.00,0.00,0.43,0.00
08/02/2536,hg,0.00,8.10,0.00,0.00,0.30,0.00
09/02/2536,hg,0.00,8.10,0.00,0.00,0.00,0.00
10/02/2536,hg,0.00,8.10,0.00,0.00,0.00,0.00
11/02/2536,hg,0.00,8.10,0.00,0.00,0.00,0.00
12/02/2536,hg,0.00,8.10,0.00,0.00,0.00,0.00
13/02/2536,hg,0.00,8.10,0.00,0.00,0.00,0.00
14/02/2536,hg,0.00,8.10,0.00,0.00,0.00,0.00
15/02/2536,hg,0.00,7.88,0.00,0.00,0.00,0.00
16/02/2536,hg,0.00,7.64,0.00,0.00,0.00,0.00
17/02/2536,hg,0.00,7.40,0.00,0.00,0.00,0.00
18/02/2536,hg,0.00,7.14,0.00,0.00,0.00,0.00
19/02/2536,hg,0.00,7.01,0.00,0.00,0.00,0.00
20/02/2536,hg,0.00,7.01,0.00,0.00,0.00,0.00
21/02/2536,hg,0.00,7.01,0.00,0.00,0.00,0.00
22/02/2536,hg,0.00,7.01,0.00,0.00,0.00,0.00
23/02/2536,hg,0.00,7.01,0.00,0.00,0.00,0.00
24/02/2536,hg,0.00,7.01,0.00,0.00,0.00,0.00
25/02/2536,hg,0.01,7.01,0.00,0.00,0.00,0.00
26/02/2536,hg,0.00,7.00,0.00,0.00,0.00,0.00
27/02/2536,hg,0.00,7.00,0.00,0.00,0.00,0.00
28/02/2536,hg,0.00,6.98,0.00,0.00,0.00,0.00
01/03/2536,hg,0.00,6.70,0.00,0.00,0.00,0.00
02/03/2536,hg,0.00,6.37,0.00,0.00,0.00,0.00
03/03/2536,hg,0.00,5.98,0.00,0.00,0.00,0.00
04/03/2536,hg,0.00,5.66,0.00,0.00,0.00,0.00
05/03/2536,hg,0.00,5.26,0.00,0.00,0.00,0.00
06/03/2536,hg,0.00,4.86,0.00,0.00,0.00,0.00
07/03/2536,hg,0.00,4.86,0.00,0.00,0.00,0.00
08/03/2536,hg,0.00,4.86,0.00,0.00,0.00,0.00
09/03/2536,hg,0.00,4.86,0.00,0.00,0.00,0.00
10/03/2536,hg,0.00,4.86,0.00,0.00,0.00,0.00
11/03/2536,hg,0.00,4.85,0.00,0.00,0.00,0.00
12/03/2536,hg,0.00,4.85,0.00,0.00,0.00,0.00
13/03/2536,hg,0.01,4.86,0.00,0.00,0.00,0.00
14/03/2536,hg,0.00,4.86,0.00,0.00,0.00,0.00
