date_d,dam_code_s,water_in_f,water_lvl_f,out_elec_f,out_spill_f,out_irr_f,in_pump_f
20/08/2535,np,0.66,112.47,0.00,0.00,0.07,0.00
21/08/2535,np,0.72,112.47,0.00,0.00,0.00,0.00
22/08/2535,np,0.56,112.30,0.00,0.00,0.00,0.00
23/08/2535,np,3.46,115.04,0.00,0.00,0.00,0.00
24/08/2535,np,9.75,124.06,0.00,0.00,0.00,0.00
25/08/2535,np,2.18,125.52,0.00,0.00,0.00,0.00
26/08/2535,np,1.84,126.63,0.00,0.00,0.00,0.00
27/08/2535,np,2.75,128.68,0.00,0.00,0.00,0.00
28/08/2535,np,3.17,131.13,0.00,0.00,0.00,0.00
29/08/2535,np,2.05,132.45,0.00,0.00,0.00,0.00
30/08/2535,np,1.48,133.22,0.00,0.00,0.00,0.00
31/08/2535,np,1.30,133.79,0.00,0.00,0.00,0.00
01/09/2535,np,2.26,135.32,0.00,0.00,0.00,0.00
02/09/2535,np,1.83,136.48,0.00,0.00,0.00,0.00
03/09/2535,np,1.51,137.25,0.00,0.00,0.00,0.00
04/09/2535,np,1.12,137.64,0.00,0.00,0.00,0.00
05/09/2535,np,0.93,137.84,0.00,0.00,0.00,0.00
06/09/2535,np,1.71,138.81,0.00,0.00,0.00,0.00
07/09/2535,np,1.12,139.20,0.00,0.00,0.00,0.00
08/09/2535,np,1.06,139.59,0.00,0.00,0.00,0.00
09/09/2535,np,0.91,139.79,0.00,0.00,0.00,0.00
10/09/2535,np,0.73,139.79,0.00,0.00,0.00,0.00
11/09/2535,np,0.70,139.79,0.00,0.00,0.00,0.00
12/09/2535,np,0.53,139.59,0.00,0.00,0.00,0.00
13/09/2535,np,1.51,140.38,0.00,0.00,0.00,0.00
14/09/2535,np,1.91,141.56,0.00,0.00,0.00,0.00
15/09/2535,np,0.92,141.75,0.00,0.00,0.00,0.00
16/09/2535,np,0.92,141.95,0.00,0.00,0.00,0.00
17/09/2535,np,0.93,142.15,0.00,0.00,0.00,0.00
18/09/2535,np,0.73,142.15,0.00,0.00,0.00,0.00
19/09/2535,np,0.73,142.15,0.00,0.00,0.00,0.00
20/09/2535,np,0.72,142.15,0.00,0.00,0.00,0.00
21/09/2535,np,0.53,141.95,0.00,0.00,0.00,0.00
22/09/2535,np,0.88,142.15,0.00,0.00,0.00,0.00
23/09/2535,np,0.71,142.15,0.00,0.00,0.00,0.00
24/09/2535,np,0.43,141.95,0.00,0.00,0.00,0.00
25/09/2535,np,0.48,141.75,0.00,0.00,0.00,0.00
26/09/2535,np,0.50,141.56,0.00,0.00,0.00,0.00
27/09/2535,np,0.28,141.16,0.00,0.00,0.00,0.00
28/09/2535,np,0.29,140.77,0.00,0.00,0.00,0.00
29/09/2535,np,0.50,140.57,0.00,0.00,0.00,0.00
30/09/2535,np,0.25,140.18,0.00,0.00,0.00,0.00
01/10/2535,np,0.37,139.98,0.00,0.00,0.00,0.00
02/10/2535,np,0.37,139.79,0.00,0.00,0.00,0.00
03/10/2535,np,0.18,139.40,0.00,0.00,0.00,0.00
04/10/2535,np,0.29,139.20,0.00,0.00,0.00,0.00
05/10/2535,np,0.41,139.20,0.00,0.00,0.00,0.00
06/10/2535,np,0.13,138.61,0.00,0.00,0.00,0.00
07/10/2535,np,0.17,138.23,0.00,0.00,0.00,0.00
08/10/2535,np,0.90,138.61,0.00,0.00,0.00,0.00
09/10/2535,np,0.24,138.23,0.00,0.00,0.00,0.00
10/10/2535,np,0.34,137.84,0.00,0.00,0.00,0.00
11/10/2535,np,0.10,137.25,0.00,0.00,0.00,0.00
12/10/2535,np,0.29,136.87,0.00,0.00,0.00,0.00
13/10/2535,np,0.10,136.29,0.00,0.00,0.00,0.00
14/10/2535,np,0.29,135.90,0.00,0.00,0.00,0.00
15/10/2535,np,0.10,135.32,0.00,0.00,0.00,0.00
16/10/2535,np,0.09,134.75,0.00,0.00,0.00,0.00
17/10/2535,np,0.10,134.17,0.00,0.00,0.00,0.00
18/10/2535,np,0.10,133.60,0.00,0.00,0.00,0.00
19/10/2535,np,0.25,133.60,0.00,0.00,0.00,0.00
20/10/2535,np,0.25,133.60,0.00,0.00,0.00,0.00
21/10/2535,np,0.06,133.41,0.00,0.00,0.00,0.00
22/10/2535,np,0.20,133.22,0.00,0.00,0.00,0.00
23/10/2535,np,0.06,133.03,0.00,0.00,0.00,0.00
24/10/2535,np,0.25,133.03,0.00,0.00,0.00,0.00
