date_d,dam_code_s,water_in_f,water_lvl_f,out_elec_f,out_spill_f,out_irr_f,out_f,in_pump_f
20/08/2535,sk,0.37,3737.61,0.00,0.00,0.49,0.49,0.00
21/08/2535,sk,11.96,3748.36,0.00,0.00,0.00,0.0,0.00
22/08/2535,sk,5.61,3752.97,0.00,0.00,0.00,0.0,0.00
23/08/2535,sk,9.74,3762.21,0.00,0.00,0.00,0.0,0.00
24/08/2535,sk,13.22,3774.57,0.00,0.00,0.00,0.0,0.00
25/08/2535,sk,19.09,3793.17,0.00,0.00,0.00,0.0,0.00
26/08/2535,sk,17.83,3810.28,0.00,0.00,0.00,0.0,0.00
27/08/2535,sk,23.94,3833.72,0.00,0.00,0.00,0.0,0.00
28/08/2535,sk,20.91,3854.13,0.00,0.00,0.00,0.0,0.00
29/08/2535,sk,22.58,3876.21,0.00,0.00,0.00,0.0,0.00
30/08/2535,sk,30.63,3906.34,0.00,0.00,0.00,0.0,0.00
31/08/2535,sk,23.83,3928.66,0.00,0.00,0.00,0.0,0.00
01/09/2535,sk,27.65,3954.29,0.00,0.00,0.00,0.0,0.00
02/09/2535,sk,21.77,3975.21,0.00,0.00,0.00,0.0,0.00
03/09/2535,sk,20.27,3994.59,0.00,0.00,0.00,0.0,0.00
04/09/2535,sk,18.83,4012.43,0.00,0.00,0.00,0.0,0.00
05/09/2535,sk,22.29,4033.59,0.00,0.00,0.00,0.0,0.00
06/09/2535,sk,18.93,4051.56,0.00,0.00,0.00,0.0,0.00
07/09/2535,sk,26.27,4074.51,0.00,0.00,0.00,0.0,0.00
08/09/2535,sk,29.46,4102.52,0.00,0.00,0.00,0.0,0.00
09/09/2535,sk,17.43,4119.06,0.00,0.00,0.00,0.0,0.00
10/09/2535,sk,17.49,4135.65,0.00,0.00,0.00,0.0,0.00
11/09/2535,sk,31.31,4165.64,0.00,0.00,0.00,0.0,0.00
12/09/2535,sk,22.30,4187.39,0.00,0.00,0.00,0.0,0.00
13/09/2535,sk,22.38,4209.23,0.00,0.00,0.00,0.0,0.00
14/09/2535,sk,17.95,4222.71,0.00,0.00,0.00,0.0,0.00
15/09/2535,sk,20.21,4237.91,0.00,0.00,0.00,0.0,0.00
16/09/2535,sk,18.79,4251.45,0.00,0.00,0.00,0.0,0.00
17/09/2535,sk,19.58,4266.72,0.00,0.00,0.00,0.0,0.00
18/09/2535,sk,26.05,4287.15,0.00,0.00,0.00,0.0,0.00
19/09/2535,sk,34.10,4311.06,0.00,0.00,0.00,0.0,0.00
20/09/2535,sk,36.18,4340.23,0.00,0.00,0.00,0.0,0.00
21/09/2535,sk,29.55,4367.80,0.00,0.00,0.00,0.0,0.00
22/09/2535,sk,28.90,4393.76,0.00,0.00,0.00,0.0,0.00
23/09/2535,sk,34.75,4425.05,0.00,0.00,0.00,0.0,0.00
24/09/2535,sk,33.08,4456.48,0.00,0.00,0.00,0.0,0.00
25/09/2535,sk,29.87,4484.55,0.00,0.00,0.00,0.0,0.00
26/09/2535,sk,25.56,4509.21,0.00,0.00,0.00,0.0,0.00
27/09/2535,sk,21.77,4530.41,0.00,0.00,0.00,0.0,0.00
28/09/2535,sk,22.09,4551.68,0.00,0.00,0.00,0.0,0.00
29/09/2535,sk,18.96,4569.46,0.00,0.00,0.00,0.0,0.00
30/09/2535,sk,27.72,4596.20,0.00,0.00,0.00,0.0,0.00
01/10/2535,sk,27.87,4619.46,0.00,0.00,0.00,0.0,0.00
02/10/2535,sk,20.66,4635.61,0.00,0.00,0.00,0.0,0.00
03/10/2535,sk,15.19,4650.00,0.00,0.00,0.00,0.0,0.00
04/10/2535,sk,18.59,4668.01,0.00,0.00,0.00,0.0,0.00
05/10/2535,sk,19.48,4684.27,0.00,0.00,0.00,0.0,0.00
06/10/2535,sk,11.51,4695.13,0.00,0.00,0.00,0.0,0.00
07/10/2535,sk,23.44,4716.89,0.00,0.00,0.00,0.0,0.00
08/10/2535,sk,16.22,4731.43,0.00,0.00,0.00,0.0,0.00
09/10/2535,sk,17.36,4747.82,0.00,0.00,0.00,0.0,0.00
10/10/2535,sk,10.00,4756.94,0.00,0.00,0.00,0.0,0.00
11/10/2535,sk,11.54,4767.90,0.00,0.00,0.00,0.0,0.00
12/10/2535,sk,11.80,4778.88,0.00,0.00,0.00,0.0,0.00
13/10/2535,sk,14.03,4791.71,0.00,0.00,0.00,0.0,0.00
14/10/2535,sk,11.76,4802.72,0.00,0.00,0.00,0.0,0.00
15/10/2535,sk,12.42,4813.74,0.00,0.00,0.00,0.0,0.00
16/10/2535,sk,12.11,4824.78,0.00,0.00,0.00,0.0,0.00
17/10/2535,sk,11.87,4835.84,0.00,0.00,0.00,0.0,0.00
18/10/2535,sk,15.35,4850.61,0.00,0.00,0.00,0.0,0.00
19/10/2535,sk,23.03,4872.81,0.00,0.00,0.00,0.0,0.00
20/10/2535,sk,24.94,4896.92,0.00,0.00,0.00,0.0,0.00
21/10/2535,sk,10.23,4906.22,0.00,0.00,0.00,0.0,0.00
22/10/2535,sk,10.57,4915.53,0.00,0.00,0.00,0.0,0.00
23/10/2535,sk,15.50,4930.44,0.00,0.00,0.00,0.0,0.00
24/10/2535,sk,11.96,4941.64,0.00,0.00,0.00,0.0,0.00
25/10/2535,sk,9.94,4950.99,0.00,0.00,0.00,0.0,0.00
26/10/2535,sk,8.37,4958.47,0.00,0.00,0.00,0.0,0.00
27/10/2535,sk,12.06,4967.84,0.00,0.00,0.00,0.0,0.00
28/10/2535,sk,8.48,4969.71,0.00,0.00,0.00,0.0,0.00
29/10/2535,sk,9.96,4975.33,0.00,0.00,0.00,0.0,0.00
30/10/2535,sk,8.73,4977.21,0.00,0.00,0.00,0.0,0.00
31/10/2535,sk,5.18,4979.09,0.00,0.00,0.00,0.0,0.00
01/11/2535,sk,8.45,4986.60,0.00,0.00,0.00,0.0,0.00
02/11/2535,sk,8.18,4992.23,0.00,0.00,0.00,0.0,0.00
03/11/2535,sk,4.91,4994.11,0.00,0.00,0.00,0.0,0.00
04/11/2535,sk,7.94,4997.87,0.00,0.00,0.00,0.0,0.00
05/11/2535,sk,9.54,5001.64,0.00,0.00,0.00,0.0,0.00
06/11/2535,sk,4.97,4994.11,0.00,0.00,0.00,0.0,0.00
07/11/2535,sk,7.74,4990.35,0.00,0.00,0.00,0.0,0.00
08/11/2535,sk,4.61,4994.11,0.00,0.00,0.00,0.0,0.00
09/11/2535,sk,8.09,4997.87,0.00,0.00,0.00,0.0,0.00
10/11/2535,sk,1.37,4994.11,0.00,0.00,0.00,0.0,0.00
11/11/2535,sk,4.49,4994.11,0.00,0.00,0.00,0.0,0.00
12/11/2535,sk,4.56,4994.11,0.00,0.00,0.00,0.0,0.00
13/11/2535,sk,8.33,4995.99,0.00,0.00,0.00,0.0,0.00
14/11/2535,sk,2.23,4994.11,0.00,0.00,0.00,0.0,0.00
15/11/2535,sk,3.51,4995.99,0.00,0.00,0.00,0.0,0.00
16/11/2535,sk,13.09,4997.87,0.00,0.00,0.00,0.0,0.00
17/11/2535,sk,6.84,4994.11,0.00,0.00,0.00,0.0,0.00
18/11/2535,sk,0.02,4984.72,0.00,0.00,0.00,0.0,0.00
19/11/2535,sk,9.32,4977.21,0.00,0.00,0.00,0.0,0.00
20/11/2535,sk,4.20,4973.46,0.00,0.00,0.00,0.0,0.00
21/11/2535,sk,2.77,4971.58,0.00,0.00,0.00,0.0,0.00
22/11/2535,sk,4.92,4971.58,0.00,0.00,0.00,0.0,0.00
23/11/2535,sk,9.70,4969.71,0.00,0.00,0.00,0.0,0.00
24/11/2535,sk,7.97,4965.96,0.00,0.00,0.00,0.0,0.00
25/11/2535,sk,5.43,4960.34,0.00,0.00,0.00,0.0,0.00
26/11/2535,sk,7.86,4956.60,0.00,0.00,0.00,0.0,0.00
27/11/2535,sk,3.64,4949.12,0.00,0.00,0.00,0.0,0.00
28/11/2535,sk,0.00,4939.77,0.00,0.00,0.00,0.0,0.00
29/11/2535,sk,2.37,4934.17,0.00,0.00,0.00,0.0,0.00
30/11/2535,sk,9.46,4926.71,0.00,0.00,0.00,0.0,0.00
01/12/2535,sk,1.25,4911.80,0.00,0.00,0.00,0.0,0.00
02/12/2535,sk,4.77,4898.78,0.00,0.00,0.00,0.0,0.00
03/12/2535,sk,3.47,4885.78,0.00,0.00,0.00,0.0,0.00
04/12/2535,sk,0.00,4869.10,0.00,0.00,0.00,0.0,0.00
05/12/2535,sk,0.58,4863.55,0.00,0.00,0.00,0.0,0.00
06/12/2535,sk,1.82,4859.85,0.00,0.00,0.00,0.0,0.00
07/12/2535,sk,10.02,4856.15,0.00,0.00,0.00,0.0,0.00
08/12/2535,sk,4.32,4846.91,0.00,0.00,0.00,0.0,0.00
09/12/2535,sk,3.29,4841.37,0.00,0.00,0.00,0.0,0.00
10/12/2535,sk,5.56,4835.84,0.00,0.00,0.00,0.0,0.00
11/12/2535,sk,8.79,4828.47,0.00,0.00,0.00,0.0,0.00
