date_d,dam_code_s,water_in_f,water_lvl_f,out_elec_f,out_spill_f,out_irr_f,in_pump_f
20/08/2535,srt,5.81,1309.83,0.00,0.00,0.64,0.00
21/08/2535,srt,5.04,1307.57,0.00,0.00,0.00,0.00
22/08/2535,srt,57.43,1362.35,0.00,0.00,0.00,0.00
23/08/2535,srt,50.83,1411.42,0.00,0.00,0.00,0.00
24/08/2535,srt,9.95,1413.78,0.00,0.00,0.00,0.00
25/08/2535,srt,6.08,1409.05,0.00,0.00,0.00,0.00
26/08/2535,srt,15.53,1413.78,0.00,0.00,0.00,0.00
27/08/2535,srt,41.92,1444.72,0.00,0.00,0.00,0.00
28/08/2535,srt,39.46,1473.64,0.00,0.00,0.00,0.00
29/08/2535,srt,47.40,1510.29,0.00,0.00,0.00,0.00
30/08/2535,srt,21.73,1520.15,0.00,0.00,0.00,0.00
31/08/2535,srt,24.30,1532.54,0.00,0.00,0.00,0.00
01/09/2535,srt,14.39,1535.02,0.00,0.00,0.00,0.00
02/09/2535,srt,16.88,1540.00,0.00,0.00,0.00,0.00
03/09/2535,srt,14.39,1542.49,0.00,0.00,0.00,0.00
04/09/2535,srt,6.98,1537.51,0.00,0.00,0.00,0.00
05/09/2535,srt,14.28,1544.98,0.00,0.00,0.00,0.00
06/09/2535,srt,7.03,1549.98,0.00,0.00,0.00,0.00
07/09/2535,srt,5.39,1547.48,0.00,0.00,0.00,0.00
08/09/2535,srt,7.09,1542.49,0.00,0.00,0.00,0.00
09/09/2535,srt,14.28,1544.98,0.00,0.00,0.00,0.00
10/09/2535,srt,4.45,1537.51,0.00,0.00,0.00,0.00
11/09/2535,srt,3.22,1532.54,0.00,0.00,0.00,0.00
12/09/2535,srt,24.82,1552.48,0.00,0.00,0.00,0.00
13/09/2535,srt,38.52,1585.21,0.00,0.00,0.00,0.00
14/09/2535,srt,13.58,1587.74,0.00,0.00,0.00,0.00
15/09/2535,srt,6.61,1582.68,0.00,0.00,0.00,0.00
16/09/2535,srt,7.70,1582.68,0.00,0.00,0.00,0.00
17/09/2535,srt,7.14,1582.68,0.00,0.00,0.00,0.00
18/09/2535,srt,4.65,1580.15,0.00,0.00,0.00,0.00
19/09/2535,srt,7.09,1580.15,0.00,0.00,0.00,0.00
20/09/2535,srt,15.82,1587.74,0.00,0.00,0.00,0.00
21/09/2535,srt,14.23,1590.28,0.00,0.00,0.00,0.00
22/09/2535,srt,17.17,1597.91,0.00,0.00,0.00,0.00
23/09/2535,srt,38.10,1626.06,0.00,0.00,0.00,0.00
24/09/2535,srt,32.11,1646.71,0.00,0.00,0.00,0.00
25/09/2535,srt,37.20,1672.75,0.00,0.00,0.00,0.00
26/09/2535,srt,15.36,1680.61,0.00,0.00,0.00,0.00
27/09/2535,srt,7.02,1685.86,0.00,0.00,0.00,0.00
28/09/2535,srt,7.35,1685.86,0.00,0.00,0.00,0.00
29/09/2535,srt,5.14,1683.23,0.00,0.00,0.00,0.00
30/09/2535,srt,13.31,1688.49,0.00,0.00,0.00,0.00
01/10/2535,srt,18.73,1699.03,0.00,0.00,0.00,0.00
02/10/2535,srt,11.06,1701.67,0.00,0.00,0.00,0.00
03/10/2535,srt,25.41,1720.22,0.00,0.00,0.00,0.00
04/10/2535,srt,25.60,1744.26,0.00,0.00,0.00,0.00
05/10/2535,srt,11.31,1746.94,0.00,0.00,0.00,0.00
06/10/2535,srt,3.77,1738.90,0.00,0.00,0.00,0.00
07/10/2535,srt,8.46,1738.90,0.00,0.00,0.00,0.00
08/10/2535,srt,3.59,1733.55,0.00,0.00,0.00,0.00
09/10/2535,srt,6.59,1728.21,0.00,0.00,0.00,0.00
10/10/2535,srt,2.89,1722.88,0.00,0.00,0.00,0.00
11/10/2535,srt,9.19,1730.88,0.00,0.00,0.00,0.00
12/10/2535,srt,2.65,1725.55,0.00,0.00,0.00,0.00
13/10/2535,srt,0.10,1717.57,0.00,0.00,0.00,0.00
14/10/2535,srt,2.19,1712.26,0.00,0.00,0.00,0.00
