date_d,dam_code_s,water_in_f,water_lvl_f,out_elec_f,out_spill_f,out_irr_f,in_pump_f
20/08/2535,ttn,9.66,53.91,0.00,0.00,0.02,0.00
21/08/2535,ttn,15.51,54.28,0.00,5.26,0.00,0.00
22/08/2535,ttn,19.00,51.01,0.00,12.27,0.00,0.00
23/08/2535,ttn,-2.10,39.00,0.00,0.24,0.00,0.00
24/08/2535,ttn,9.86,45.66,0.00,0.00,0.00,0.00
25/08/2535,ttn,7.32,47.89,0.00,0.00,0.00,0.00
26/08/2535,ttn,2.61,45.52,0.00,0.00,0.00,0.00
27/08/2535,ttn,-0.10,42.62,0.00,0.00,0.00,0.00
28/08/2535,ttn,0.62,40.76,0.00,0.00,0.00,0.00
29/08/2535,ttn,3.04,43.51,0.00,0.00,0.00,0.00
30/08/2535,ttn,1.30,43.21,0.00,0.00,0.00,0.00
31/08/2535,ttn,11.94,51.39,0.00,0.00,0.00,0.00
01/09/2535,ttn,13.20,54.95,0.00,0.00,0.00,0.00
02/09/2535,ttn,13.85,50.12,0.00,0.00,0.00,0.00
03/09/2535,ttn,17.55,55.62,0.00,0.00,0.00,0.00
04/09/2535,ttn,12.69,50.49,0.00,0.00,0.00,0.00
05/09/2535,ttn,14.36,49.23,0.00,0.00,0.00,0.00
06/09/2535,ttn,-2.00,39.51,0.00,0.00,0.00,0.00
07/09/2535,ttn,18.61,45.74,0.00,0.00,0.00,0.00
08/09/2535,ttn,17.09,45.37,0.00,0.00,0.00,0.00
09/09/2535,ttn,11.36,49.38,0.00,0.00,0.00,0.00
10/09/2535,ttn,11.05,46.41,0.00,0.00,0.00,0.00
11/09/2535,ttn,15.72,54.80,0.00,0.00,0.00,0.00
12/09/2535,ttn,6.22,56.21,0.00,0.00,0.00,0.00
13/09/2535,ttn,-10.68,39.57,0.00,0.00,0.00,0.00
14/09/2535,ttn,13.00,45.00,0.00,0.00,0.00,0.00
15/09/2535,ttn,16.38,51.31,0.00,0.00,0.00,0.00
16/09/2535,ttn,13.84,53.47,0.00,0.98,0.00,0.00
17/09/2535,ttn,9.60,54.06,0.00,0.48,0.00,0.00
18/09/2535,ttn,9.62,54.36,0.00,0.00,0.00,0.00
19/09/2535,ttn,15.67,51.46,0.00,8.89,0.00,0.00
20/09/2535,ttn,-2.39,45.22,0.00,0.00,0.00,0.00
21/09/2535,ttn,23.00,54.80,0.00,3.88,0.00,0.00
22/09/2535,ttn,16.99,55.99,0.00,6.16,0.00,0.00
23/09/2535,ttn,19.51,53.76,0.00,11.44,0.00,0.00
24/09/2535,ttn,11.69,51.16,0.00,4.40,0.00,0.00
25/09/2535,ttn,11.72,53.54,0.00,0.00,0.00,0.00
26/09/2535,ttn,5.31,49.01,0.00,0.00,0.00,0.00
27/09/2535,ttn,-5.27,39.62,0.00,0.00,0.00,0.00
28/09/2535,ttn,15.51,47.67,0.00,0.00,0.00,0.00
29/09/2535,ttn,14.85,52.72,0.00,0.00,0.00,0.00
30/09/2535,ttn,10.54,53.47,0.00,0.00,0.00,0.00
01/10/2535,ttn,22.88,54.21,0.00,12.22,0.00,0.00
02/10/2535,ttn,22.47,50.35,0.00,15.64,0.00,0.00
03/10/2535,ttn,17.79,48.64,0.00,8.98,0.00,0.00
04/10/2535,ttn,-6.94,38.66,0.00,0.00,0.00,0.00
05/10/2535,ttn,25.03,55.10,0.00,2.91,0.00,0.00
06/10/2535,ttn,13.71,50.57,0.00,8.09,0.00,0.00
07/10/2535,ttn,18.09,53.76,0.00,5.00,0.00,0.00
08/10/2535,ttn,21.66,55.10,0.00,10.51,0.00,0.00
09/10/2535,ttn,11.14,48.64,0.00,8.10,0.00,0.00
10/10/2535,ttn,7.75,54.21,0.00,0.00,0.00,0.00
11/10/2535,ttn,-2.44,45.81,0.00,0.00,0.00,0.00
12/10/2535,ttn,4.91,45.29,0.00,0.00,0.00,0.00
13/10/2535,ttn,15.52,54.80,0.00,0.65,0.00,0.00
14/10/2535,ttn,9.73,54.65,0.00,0.51,0.00,0.00
15/10/2535,ttn,9.29,54.58,0.00,0.00,0.00,0.00
16/10/2535,ttn,7.55,53.47,0.00,0.00,0.00,0.00
17/10/2535,ttn,-0.82,49.23,0.00,0.00,0.00,0.00
18/10/2535,ttn,-9.48,39.74,0.00,0.00,0.00,0.00
19/10/2535,ttn,8.34,45.74,0.00,0.00,0.00,0.00
20/10/2535,ttn,15.36,53.32,0.00,1.22,0.00,0.00
21/10/2535,ttn,11.87,55.32,0.00,0.00,0.00,0.00
22/10/2535,ttn,10.50,56.21,0.00,0.00,0.00,0.00
23/10/2535,ttn,0.35,50.12,0.00,0.00,0.00,0.00
24/10/2535,ttn,3.04,49.38,0.00,0.00,0.00,0.00
25/10/2535,ttn,-2.59,41.89,0.00,0.00,0.00,0.00
26/10/2535,ttn,21.75,51.46,0.00,2.66,0.00,0.00
27/10/2535,ttn,12.19,51.46,0.00,2.26,0.00,0.00
28/10/2535,ttn,20.34,52.87,0.00,8.97,0.00,0.00
29/10/2535,ttn,27.85,53.02,0.00,17.67,0.00,0.00
30/10/2535,ttn,19.98,53.17,0.00,9.72,0.00,0.00
31/10/2535,ttn,5.85,52.20,0.00,0.00,0.00,0.00
01/11/2535,ttn,-8.50,40.98,0.00,0.00,0.00,0.00
02/11/2535,ttn,13.61,49.23,0.00,0.00,0.00,0.00
03/11/2535,ttn,14.39,53.99,0.00,3.39,0.00,0.00
04/11/2535,ttn,11.50,54.65,0.00,1.31,0.00,0.00
05/11/2535,ttn,16.37,54.13,0.00,7.08,0.00,0.00
06/11/2535,ttn,22.20,54.28,0.00,11.95,0.00,0.00
07/11/2535,ttn,21.58,54.73,0.00,11.12,0.00,0.00
08/11/2535,ttn,-1.40,42.99,0.00,0.00,0.00,0.00
09/11/2535,ttn,8.81,43.29,0.00,0.61,0.00,0.00
10/11/2535,ttn,3.55,38.83,0.00,0.00,0.00,0.00
11/11/2535,ttn,7.74,43.58,0.00,0.00,0.00,0.00
12/11/2535,ttn,13.32,52.72,0.00,0.00,0.00,0.00
13/11/2535,ttn,9.02,51.76,0.00,2.16,0.00,0.00
14/11/2535,ttn,4.82,52.20,0.00,0.00,0.00,0.00
15/11/2535,ttn,-10.67,40.47,0.00,0.00,0.00,0.00
16/11/2535,ttn,19.49,53.54,0.00,1.86,0.00,0.00
17/11/2535,ttn,15.45,51.16,0.00,8.15,0.00,0.00
18/11/2535,ttn,13.52,49.08,0.00,5.79,0.00,0.00
19/11/2535,ttn,17.99,51.68,0.00,5.12,0.00,0.00
20/11/2535,ttn,13.58,53.47,0.00,1.93,0.00,0.00
21/11/2535,ttn,8.96,52.72,0.00,0.00,0.00,0.00
22/11/2535,ttn,0.02,43.73,0.00,0.00,0.00,0.00
23/11/2535,ttn,12.99,46.70,0.00,0.00,0.00,0.00
24/11/2535,ttn,14.91,51.61,0.00,0.00,0.00,0.00
25/11/2535,ttn,11.00,53.39,0.00,0.00,0.00,0.00
26/11/2535,ttn,6.05,49.60,0.00,0.00,0.00,0.00
27/11/2535,ttn,4.84,45.22,0.00,0.00,0.00,0.00
28/11/2535,ttn,8.20,45.22,0.00,0.00,0.00,0.00
29/11/2535,ttn,-4.50,37.08,0.00,0.00,0.00,0.00
30/11/2535,ttn,8.78,40.25,0.00,0.00,0.00,0.00
01/12/2535,ttn,3.58,39.23,0.00,0.00,0.00,0.00
02/12/2535,ttn,7.30,42.92,0.00,0.00,0.00,0.00
03/12/2535,ttn,4.62,42.00,0.00,0.00,0.00,0.00
04/12/2535,ttn,13.55,50.12,0.00,0.00,0.00,0.00
05/12/2535,ttn,4.04,47.89,0.00,0.00,0.00,0.00
06/12/2535,ttn,-0.81,40.59,0.00,0.00,0.00,0.00
07/12/2535,ttn,16.61,49.16,0.00,0.00,0.00,0.00
08/12/2535,ttn,19.98,54.58,0.00,0.53,0.00,0.00
09/12/2535,ttn,17.93,53.32,0.00,0.00,0.00,0.00
10/12/2535,ttn,14.90,55.84,0.00,0.00,0.00,0.00
11/12/2535,ttn,15.32,53.32,0.00,1.39,0.00,0.00
12/12/2535,ttn,15.88,53.02,0.00,0.00,0.00,0.00
13/12/2535,ttn,-3.34,41.09,0.00,0.00,0.00,0.00
14/12/2535,ttn,15.22,42.62,0.00,0.00,0.00,0.00
15/12/2535,ttn,24.65,49.83,0.00,0.00,0.00,0.00
16/12/2535,ttn,20.71,50.79,0.00,0.00,0.00,0.00
17/12/2535,ttn,18.70,50.42,0.00,0.00,0.00,0.00
18/12/2535,ttn,17.94,49.97,0.00,0.00,0.00,0.00
19/12/2535,ttn,14.62,48.64,0.00,0.00,0.00,0.00
20/12/2535,ttn,-3.54,40.02,0.00,0.00,0.00,0.00
21/12/2535,ttn,17.07,43.06,0.00,0.00,0.00,0.00
22/12/2535,ttn,25.42,55.47,0.00,0.00,0.00,0.00
23/12/2535,ttn,17.20,51.83,0.00,0.00,0.00,0.00
24/12/2535,ttn,21.83,52.80,0.00,0.00,0.00,0.00
25/12/2535,ttn,5.65,49.38,0.00,0.00,0.00,0.00
26/12/2535,ttn,6.97,50.35,0.00,0.00,0.00,0.00
27/12/2535,ttn,-0.81,42.77,0.00,0.00,0.00,0.00
28/12/2535,ttn,22.59,52.50,0.00,0.00,0.00,0.00
29/12/2535,ttn,16.80,55.47,0.00,0.00,0.00,0.00
30/12/2535,ttn,11.31,58.11,0.00,0.00,0.00,0.00
31/12/2535,ttn,-6.08,51.76,0.00,0.00,0.00,0.00
01/01/2536,ttn,-6.10,43.66,0.00,0.00,0.00,0.00
02/01/2536,ttn,0.06,42.99,0.00,0.00,0.00,0.00
03/01/2536,ttn,-4.46,36.97,0.00,0.00,0.00,0.00
04/01/2536,ttn,21.24,52.50,0.00,0.00,0.00,0.00
05/01/2536,ttn,16.28,51.46,0.00,0.00,0.00,0.00
06/01/2536,ttn,13.54,54.36,0.00,0.00,0.00,0.00
07/01/2536,ttn,7.54,52.43,0.00,0.00,0.00,0.00
08/01/2536,ttn,8.74,56.07,0.00,0.00,0.00,0.00
09/01/2536,ttn,9.61,56.96,0.00,0.00,0.00,0.00
10/01/2536,ttn,-7.58,45.81,0.00,0.00,0.00,0.00
11/01/2536,ttn,16.48,53.09,0.00,0.00,0.00,0.00
12/01/2536,ttn,12.83,52.35,0.00,0.00,0.00,0.00
13/01/2536,ttn,8.41,53.76,0.00,0.00,0.00,0.00
14/01/2536,ttn,6.98,52.50,0.00,0.00,0.00,0.00
15/01/2536,ttn,13.24,55.77,0.00,0.00,0.00,0.00
