date_d,dam_code_s,water_in_f,water_lvl_f,out_elec_f,out_spill_f,out_irr_f,in_pump_f
20/08/2535,ubr,8.23,785.28,0.00,0.00,1.01,0.00
21/08/2535,ubr,5.06,781.65,0.00,0.00,0.00,0.00
22/08/2535,ubr,3.20,776.22,0.00,0.00,0.00,0.00
23/08/2535,ubr,4.06,778.03,0.00,0.00,0.00,0.00
24/08/2535,ubr,2.12,772.62,0.00,0.00,0.00,0.00
25/08/2535,ubr,4.34,769.03,0.00,0.00,0.00,0.00
26/08/2535,ubr,5.73,767.24,0.00,0.00,0.00,0.00
27/08/2535,ubr,6.23,765.45,0.00,0.00,0.00,0.00
28/08/2535,ubr,9.81,767.24,0.00,0.00,0.00,0.00
29/08/2535,ubr,6.30,765.45,0.00,0.00,0.00,0.00
30/08/2535,ubr,9.28,772.62,0.00,0.00,0.00,0.00
31/08/2535,ubr,10.32,774.42,0.00,0.00,0.00,0.00
01/09/2535,ubr,13.51,779.84,0.00,0.00,0.00,0.00
02/09/2535,ubr,10.70,781.65,0.00,0.00,0.00,0.00
03/09/2535,ubr,9.06,781.65,0.00,0.00,0.00,0.00
04/09/2535,ubr,9.11,781.65,0.00,0.00,0.00,0.00
05/09/2535,ubr,15.50,788.93,0.00,0.00,0.00,0.00
06/09/2535,ubr,0.53,787.10,0.00,0.00,0.00,0.00
07/09/2535,ubr,7.19,785.28,0.00,0.00,0.00,0.00
08/09/2535,ubr,7.22,783.46,0.00,0.00,0.00,0.00
09/09/2535,ubr,9.08,785.28,0.00,0.00,0.00,0.00
10/09/2535,ubr,7.04,785.28,0.00,0.00,0.00,0.00
11/09/2535,ubr,7.59,785.28,0.00,0.00,0.00,0.00
12/09/2535,ubr,5.58,783.46,0.00,0.00,0.00,0.00
13/09/2535,ubr,4.14,785.28,0.00,0.00,0.00,0.00
14/09/2535,ubr,5.23,783.46,0.00,0.00,0.00,0.00
15/09/2535,ubr,5.12,779.84,0.00,0.00,0.00,0.00
16/09/2535,ubr,6.76,778.03,0.00,0.00,0.00,0.00
17/09/2535,ubr,14.27,783.46,0.00,0.00,0.00,0.00
18/09/2535,ubr,22.55,798.10,0.00,0.00,0.00,0.00
19/09/2535,ubr,15.35,805.50,0.00,0.00,0.00,0.00
20/09/2535,ubr,9.68,812.94,0.00,0.00,0.00,0.00
21/09/2535,ubr,10.81,814.81,0.00,0.00,0.00,0.00
22/09/2535,ubr,23.97,829.93,0.00,0.00,0.00,0.00
23/09/2535,ubr,10.98,831.84,0.00,0.00,0.00,0.00
24/09/2535,ubr,17.84,841.44,0.00,0.00,0.00,0.00
25/09/2535,ubr,22.24,857.00,0.00,0.00,0.00,0.00
26/09/2535,ubr,20.21,870.82,0.00,0.00,0.00,0.00
27/09/2535,ubr,18.69,886.85,0.00,0.00,0.00,0.00
28/09/2535,ubr,14.33,894.96,0.00,0.00,0.00,0.00
29/09/2535,ubr,14.94,903.13,0.00,0.00,0.00,0.00
30/09/2535,ubr,16.40,913.43,0.00,0.00,0.00,0.00
01/10/2535,ubr,18.49,925.93,0.00,0.00,0.00,0.00
02/10/2535,ubr,19.65,938.56,0.00,0.00,0.00,0.00
03/10/2535,ubr,19.02,951.34,0.00,0.00,0.00,0.00
04/10/2535,ubr,14.44,964.26,0.00,0.00,0.00,0.00
05/10/2535,ubr,17.85,975.13,0.00,0.00,0.00,0.00
06/10/2535,ubr,15.48,986.11,0.00,0.00,0.00,0.00
07/10/2535,ubr,17.66,999.40,0.00,0.00,0.00,0.00
08/10/2535,ubr,14.77,1008.34,0.00,0.00,0.00,0.00
09/10/2535,ubr,18.92,1021.88,0.00,0.00,0.00,0.00
10/10/2535,ubr,17.03,1033.26,0.00,0.00,0.00,0.00
11/10/2535,ubr,19.73,1047.05,0.00,0.00,0.00,0.00
12/10/2535,ubr,17.49,1058.65,0.00,0.00,0.00,0.00
13/10/2535,ubr,17.47,1070.35,0.00,0.00,0.00,0.00
14/10/2535,ubr,17.43,1082.15,0.00,0.00,0.00,0.00
15/10/2535,ubr,12.94,1089.27,0.00,0.00,0.00,0.00
16/10/2535,ubr,15.12,1098.83,0.00,0.00,0.00,0.00
17/10/2535,ubr,8.07,1101.22,0.00,0.00,0.00,0.00
18/10/2535,ubr,7.06,1106.03,0.00,0.00,0.00,0.00
19/10/2535,ubr,7.85,1108.44,0.00,0.00,0.00,0.00
20/10/2535,ubr,2.90,1106.03,0.00,0.00,0.00,0.00
21/10/2535,ubr,5.24,1106.03,0.00,0.00,0.00,0.00
22/10/2535,ubr,0.53,1101.22,0.00,0.00,0.00,0.00
23/10/2535,ubr,5.15,1101.22,0.00,0.00,0.00,0.00
24/10/2535,ubr,0.24,1096.43,0.00,0.00,0.00,0.00
25/10/2535,ubr,2.79,1094.04,0.00,0.00,0.00,0.00
26/10/2535,ubr,0.67,1089.27,0.00,0.00,0.00,0.00
27/10/2535,ubr,2.72,1086.89,0.00,0.00,0.00,0.00
28/10/2535,ubr,0.81,1082.15,0.00,0.00,0.00,0.00
29/10/2535,ubr,5.30,1082.15,0.00,0.00,0.00,0.00
30/10/2535,ubr,0.42,1075.06,0.00,0.00,0.00,0.00
31/10/2535,ubr,3.13,1072.70,0.00,0.00,0.00,0.00
01/11/2535,ubr,0.85,1068.00,0.00,0.00,0.00,0.00
02/11/2535,ubr,0.00,1060.98,0.00,0.00,0.00,0.00
03/11/2535,ubr,0.00,1054.00,0.00,0.00,0.00,0.00
04/11/2535,ubr,0.00,1047.05,0.00,0.00,0.00,0.00
05/11/2535,ubr,0.85,1042.44,0.00,0.00,0.00,0.00
06/11/2535,ubr,19.08,1054.00,0.00,0.00,0.00,0.00
07/11/2535,ubr,1.13,1049.36,0.00,0.00,0.00,0.00
08/11/2535,ubr,3.39,1047.05,0.00,0.00,0.00,0.00
09/11/2535,ubr,0.00,1040.14,0.00,0.00,0.00,0.00
10/11/2535,ubr,0.00,1037.84,0.00,0.00,0.00,0.00
11/11/2535,ubr,2.38,1037.84,0.00,0.00,0.00,0.00
12/11/2535,ubr,0.00,1035.55,0.00,0.00,0.00,0.00
13/11/2535,ubr,2.08,1035.55,0.00,0.00,0.00,0.00
14/11/2535,ubr,2.01,1035.55,0.00,0.00,0.00,0.00
15/11/2535,ubr,2.06,1035.55,0.00,0.00,0.00,0.00
16/11/2535,ubr,1.94,1035.55,0.00,0.00,0.00,0.00
17/11/2535,ubr,3.22,1035.55,0.00,0.00,0.00,0.00
18/11/2535,ubr,0.45,1033.26,0.00,0.00,0.00,0.00
19/11/2535,ubr,0.00,1030.97,0.00,0.00,0.00,0.00
20/11/2535,ubr,0.00,1028.69,0.00,0.00,0.00,0.00
21/11/2535,ubr,2.22,1028.69,0.00,0.00,0.00,0.00
22/11/2535,ubr,1.98,1028.69,0.00,0.00,0.00,0.00
23/11/2535,ubr,0.00,1026.42,0.00,0.00,0.00,0.00
24/11/2535,ubr,0.06,1024.14,0.00,0.00,0.00,0.00
25/11/2535,ubr,0.33,1021.88,0.00,0.00,0.00,0.00
26/11/2535,ubr,0.05,1019.61,0.00,0.00,0.00,0.00
27/11/2535,ubr,2.34,1019.61,0.00,0.00,0.00,0.00
28/11/2535,ubr,0.01,1017.35,0.00,0.00,0.00,0.00
29/11/2535,ubr,2.23,1017.35,0.00,0.00,0.00,0.00
30/11/2535,ubr,0.00,1015.09,0.00,0.00,0.00,0.00
01/12/2535,ubr,0.00,1012.84,0.00,0.00,0.00,0.00
02/12/2535,ubr,1.49,1012.84,0.00,0.00,0.00,0.00
03/12/2535,ubr,1.49,1012.84,0.00,0.00,0.00,0.00
04/12/2535,ubr,0.00,1010.59,0.00,0.00,0.00,0.00
05/12/2535,ubr,1.52,1010.59,0.00,0.00,0.00,0.00
06/12/2535,ubr,1.51,1010.59,0.00,0.00,0.00,0.00
07/12/2535,ubr,1.41,1010.59,0.00,0.00,0.00,0.00
08/12/2535,ubr,1.71,1010.59,0.00,0.00,0.00,0.00
09/12/2535,ubr,1.44,1010.59,0.00,0.00,0.00,0.00
10/12/2535,ubr,1.43,1010.59,0.00,0.00,0.00,0.00
11/12/2535,ubr,0.00,1008.34,0.00,0.00,0.00,0.00
12/12/2535,ubr,1.45,1008.34,0.00,0.00,0.00,0.00
13/12/2535,ubr,1.43,1008.34,0.00,0.00,0.00,0.00
14/12/2535,ubr,0.00,1006.10,0.00,0.00,0.00,0.00
15/12/2535,ubr,0.00,1003.86,0.00,0.00,0.00,0.00
16/12/2535,ubr,1.54,1003.86,0.00,0.00,0.00,0.00
17/12/2535,ubr,1.52,1003.86,0.00,0.00,0.00,0.00
18/12/2535,ubr,0.00,1001.63,0.00,0.00,0.00,0.00
19/12/2535,ubr,1.48,1001.63,0.00,0.00,0.00,0.00
20/12/2535,ubr,1.26,999.40,0.00,0.00,0.00,0.00
21/12/2535,ubr,1.65,997.18,0.00,0.00,0.00,0.00
22/12/2535,ubr,0.00,992.74,0.00,0.00,0.00,0.00
23/12/2535,ubr,0.00,988.31,0.00,0.00,0.00,0.00
24/12/2535,ubr,1.23,986.11,0.00,0.00,0.00,0.00
25/12/2535,ubr,2.41,986.11,0.00,0.00,0.00,0.00
26/12/2535,ubr,2.46,986.11,0.00,0.00,0.00,0.00
27/12/2535,ubr,0.20,983.90,0.00,0.00,0.00,0.00
28/12/2535,ubr,0.83,981.70,0.00,0.00,0.00,0.00
29/12/2535,ubr,0.00,979.51,0.00,0.00,0.00,0.00
30/12/2535,ubr,0.33,977.32,0.00,0.00,0.00,0.00
31/12/2535,ubr,0.41,975.13,0.00,0.00,0.00,0.00
01/01/2536,ubr,0.31,972.95,0.00,0.00,0.00,0.00
02/01/2536,ubr,0.32,970.77,0.00,0.00,0.00,0.00
03/01/2536,ubr,2.46,970.77,0.00,0.00,0.00,0.00
04/01/2536,ubr,0.00,966.43,0.00,0.00,0.00,0.00
05/01/2536,ubr,0.63,964.26,0.00,0.00,0.00,0.00
06/01/2536,ubr,0.62,962.10,0.00,0.00,0.00,0.00
07/01/2536,ubr,1.04,959.94,0.00,0.00,0.00,0.00
08/01/2536,ubr,0.91,957.78,0.00,0.00,0.00,0.00
09/01/2536,ubr,0.00,953.48,0.00,0.00,0.00,0.00
10/01/2536,ubr,0.73,951.34,0.00,0.00,0.00,0.00
11/01/2536,ubr,0.14,947.07,0.00,0.00,0.00,0.00
12/01/2536,ubr,2.11,944.93,0.00,0.00,0.00,0.00
13/01/2536,ubr,0.45,940.68,0.00,0.00,0.00,0.00
14/01/2536,ubr,0.29,936.45,0.00,0.00,0.00,0.00
15/01/2536,ubr,0.00,928.02,0.00,0.00,0.00,0.00
