0/7000   19/10/2554 200 OK
1/7000   18/10/2554 200 OK
2/7000   17/10/2554 200 OK
3/7000   16/10/2554 200 OK
4/7000   15/10/2554 200 OK
5/7000   14/10/2554 200 OK
6/7000   13/10/2554 200 OK
7/7000   12/10/2554 200 OK
8/7000   11/10/2554 200 OK
9/7000   10/10/2554 200 OK
10/7000   9/10/2554 200 OK
11/7000   8/10/2554 200 OK
12/7000   7/10/2554 200 OK
13/7000   6/10/2554 200 OK
14/7000   5/10/2554 200 OK
15/7000   4/10/2554 200 OK
16/7000   3/10/2554 200 OK
17/7000   2/10/2554 200 OK
18/7000   1/10/2554 200 OK
19/7000   30/9/2554 200 OK
20/7000   29/9/2554 200 OK
21/7000   28/9/2554 200 OK
22/7000   27/9/2554 200 OK
23/7000   26/9/2554 200 OK
24/7000   25/9/2554 200 OK
25/7000   24/9/2554 200 OK
26/7000   23/9/2554 200 OK
27/7000   22/9/2554 200 OK
28/7000   21/9/2554 200 OK
29/7000   20/9/2554 200 OK
30/7000   19/9/2554 200 OK
31/7000   18/9/2554 200 OK
32/7000   17/9/2554 200 OK
33/7000   16/9/2554 200 OK
34/7000   15/9/2554 200 OK
35/7000   14/9/2554 200 OK
36/7000   13/9/2554 200 OK
37/7000   12/9/2554 200 OK
38/7000   11/9/2554 200 OK
39/7000   10/9/2554 200 OK
40/7000   9/9/2554 200 OK
41/7000   8/9/2554 200 OK
42/7000   7/9/2554 200 OK
43/7000   6/9/2554 200 OK
44/7000   5/9/2554 200 OK
45/7000   4/9/2554 200 OK
46/7000   3/9/2554 200 OK
47/7000   2/9/2554 200 OK
48/7000   1/9/2554 200 OK
49/7000   31/8/2554 200 OK
50/7000   30/8/2554 200 OK
51/7000   29/8/2554 200 OK
52/7000   28/8/2554 200 OK
53/7000   27/8/2554 200 OK
54/7000   26/8/2554 200 OK
55/7000   25/8/2554 200 OK
56/7000   24/8/2554 200 OK
57/7000   23/8/2554 200 OK
58/7000   22/8/2554 200 OK
59/7000   21/8/2554 200 OK
60/7000   20/8/2554 200 OK
61/7000   19/8/2554 200 OK
62/7000   18/8/2554 200 OK
63/7000   17/8/2554 200 OK
64/7000   16/8/2554 200 OK
65/7000   15/8/2554 200 OK
66/7000   14/8/2554 200 OK
67/7000   13/8/2554 200 OK
68/7000   12/8/2554 200 OK
69/7000   11/8/2554 200 OK
70/7000   10/8/2554 200 OK
71/7000   9/8/2554 200 OK
72/7000   8/8/2554 200 OK
73/7000   7/8/2554 200 OK
74/7000   6/8/2554 200 OK
75/7000   5/8/2554 200 OK
76/7000   4/8/2554 200 OK
77/7000   3/8/2554 200 OK
78/7000   2/8/2554 200 OK
79/7000   1/8/2554 200 OK
80/7000   31/7/2554 200 OK
81/7000   30/7/2554 200 OK
82/7000   29/7/2554 200 OK
83/7000   28/7/2554 200 OK
84/7000   27/7/2554 200 OK
85/7000   26/7/2554 200 OK
86/7000   25/7/2554 200 OK
87/7000   24/7/2554 200 OK
88/7000   23/7/2554 200 OK
89/7000   22/7/2554 200 OK
90/7000   21/7/2554 200 OK
91/7000   20/7/2554 200 OK
92/7000   19/7/2554 200 OK
93/7000   18/7/2554 200 OK
94/7000   17/7/2554 200 OK
95/7000   16/7/2554 200 OK
96/7000   15/7/2554 200 OK
97/7000   14/7/2554 200 OK
98/7000   13/7/2554 200 OK
99/7000   12/7/2554 200 OK
100/7000   11/7/2554 200 OK
101/7000   10/7/2554 200 OK
102/7000   9/7/2554 200 OK
103/7000   8/7/2554 200 OK
104/7000   7/7/2554 200 OK
105/7000   6/7/2554 200 OK
106/7000   5/7/2554 200 OK
107/7000   4/7/2554 200 OK
108/7000   3/7/2554 200 OK
109/7000   2/7/2554 200 OK
110/7000   1/7/2554 200 OK
111/7000   30/6/2554 200 OK
112/7000   29/6/2554 200 OK
113/7000   28/6/2554 200 OK
114/7000   27/6/2554 200 OK
115/7000   26/6/2554 200 OK
116/7000   25/6/2554 200 OK
117/7000   24/6/2554 200 OK
118/7000   23/6/2554 200 OK
119/7000   22/6/2554 200 OK
120/7000   21/6/2554 200 OK
121/7000   20/6/2554 200 OK
122/7000   19/6/2554 200 OK
123/7000   18/6/2554 200 OK
124/7000   17/6/2554 200 OK
125/7000   16/6/2554 200 OK
126/7000   15/6/2554 200 OK
127/7000   14/6/2554 200 OK
128/7000   13/6/2554 200 OK
129/7000   12/6/2554 200 OK
130/7000   11/6/2554 200 OK
131/7000   10/6/2554 200 OK
132/7000   9/6/2554 200 OK
133/7000   8/6/2554 200 OK
134/7000   7/6/2554 200 OK
135/7000   6/6/2554 200 OK
136/7000   5/6/2554 200 OK
137/7000   4/6/2554 200 OK
138/7000   3/6/2554 200 OK
139/7000   2/6/2554 200 OK
140/7000   1/6/2554 200 OK
141/7000   31/5/2554 200 OK
142/7000   30/5/2554 200 OK
143/7000   29/5/2554 200 OK
144/7000   28/5/2554 200 OK
145/7000   27/5/2554 200 OK
146/7000   26/5/2554 200 OK
147/7000   25/5/2554 200 OK
148/7000   24/5/2554 200 OK
149/7000   23/5/2554 200 OK
150/7000   22/5/2554 200 OK
151/7000   21/5/2554 200 OK
152/7000   20/5/2554 200 OK
153/7000   19/5/2554 200 OK
154/7000   18/5/2554 200 OK
155/7000   17/5/2554 200 OK
156/7000   16/5/2554 200 OK
157/7000   15/5/2554 200 OK
158/7000   14/5/2554 200 OK
159/7000   13/5/2554 200 OK
160/7000   12/5/2554 200 OK
161/7000   11/5/2554 200 OK
162/7000   10/5/2554 200 OK
163/7000   9/5/2554 200 OK
164/7000   8/5/2554 200 OK
165/7000   7/5/2554 200 OK
166/7000   6/5/2554 200 OK
167/7000   5/5/2554 200 OK
168/7000   4/5/2554 200 OK
169/7000   3/5/2554 200 OK
170/7000   2/5/2554 200 OK
171/7000   1/5/2554 200 OK
172/7000   30/4/2554 200 OK
173/7000   29/4/2554 200 OK
174/7000   28/4/2554 200 OK
175/7000   27/4/2554 200 OK
